smiles,ri,ri_2
Clc1c(Cl)c2oc3c(Cl)c(Cl)c(Cl)cc3c2cc1Cl,2711.764705882353,101.36213212771129
ClCC(OP(=O)(OC(CCl)CCl)OC(CCl)CCl)CCl,2310.0,80.06818461783976
ClC(Cl)(Cl)C(Cl)(Cl)Cl,1075.0,33.689765361178964
Clc1c(Cl)cc(c(Cl)c1)-c1c(Cl)cc(Cl)c(Cl)c1,2290.0,74.1869472283281
ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,2345.0,87.77862576235701
Clc1c(Cl)c(Cl)c(OC)c(Cl)c1Cl,1707.6923076923076,65.49155021573092
ClC(Cl)(Cl)C(Cl)Cl,977.1428571428571,33.87169340191189
Clc1c(Cl)c(Cl)c([N+](=O)[O-])c(Cl)c1Cl,1742.3076923076924,77.37157849799705
Clc1c(Cl)c2Oc3c(Oc2cc1Cl)cc(Cl)c(Cl)c3,2544.4444444444443,88.37292402875123
Clc1c(Cl)c2oc3c(c2cc1Cl)cc(Cl)c(Cl)c3,2527.777777777778,97.28739802466455
Clc1c(Cl)c(Cl)c(N)c(Cl)c1Cl,1837.5,95.83059545606834
Clc1c(Cl)c(Cl)c(C#N)c(Cl)c1Cl,1750.0,81.96685180657975
ClC(Cl)C(c1c(Cl)cccc1)c1ccc(Cl)cc1,2185.714285714286,91.36095427351624
ClC(Cl)(SN1C(=O)C2C(C1=O)CC=CC2)C(Cl)Cl,2395.0,142.19164885429552
Clc1c(Cl)cc(Cl)c(Cl)c1,1322.5806451612902,50.05848740729883
Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl,1784.6153846153845,99.86704434582627
Clc1c(N)c(Cl)c(Cl)cc1Cl,1614.8148148148148,82.32703257409139
Clc1c(Cl)c(C(=O)OC)c(Cl)c(Cl)c1C(=O)OC,1978.2608695652175,70.77216509460277
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,2171.4285714285716,77.13748927076027
Clc1c(-c2c(Cl)ccc(Cl)c2)cc(Cl)cc1,1939.1304347826087,73.35942632210103
Clc1c(Cl)ccc(-c2c(Cl)cccc2Cl)c1,1995.6521739130435,84.5440458697687
ClC(Cl)(Cl)SN1C(=O)C2C(C1=O)CC=CC2,2060.8695652173915,133.460397248812
ClC(Cl)(Cl)c1nc(OCC)sn1,1446.6666666666667,63.69025057513145
Clc1c(Cl)cc(OP(=S)(OC)OC)c(Cl)c1,1904.3478260869565,75.45339649844206
Clc1c(Cl)cccc1Cl,1208.8235294117646,55.23705009996412
Clc1c(Cl)ccc(Cl)c1,1174.2857142857142,47.301290590560534
Clc1c(Cl)cc(Cl)c(OP(=S)(OC)OC)n1,1870.8333333333333,85.41108039590989
ClCC(OP(=O)(OC(CCl)C)OC(CCl)C)C,1784.6153846153845,60.50443189633885
ClCCOP(=O)(OCCCl)OCCCl,1753.8461538461538,88.43229448493446
ClC(Cl)(Cl)C(c1ccc(OC)cc1)c1ccc(OC)cc1,2473.684210526316,106.80307600845448
Clc1c(OCCN(C(=O)n2cncc2)CCC)c(Cl)cc(Cl)c1,2705.8823529411766,94.44302931652109
ClC(Cl)=C(Cl)CSC(=O)N(C(C)C)C(C)C,1816.6666666666667,53.37107158592268
Clc1c(Oc2c(O)cc(Cl)cc2)ccc(Cl)c1,2095.6521739130435,85.68163543672317
Clc1c(c(Cl)ccc1)-c1c(Cl)cccc1,1730.7692307692307,86.68680307314723
Clc1c(Cl)cc(OC(C(=O)OC)C)c(Cl)c1,1746.1538461538462,57.90400591551299
Clc1c(Cl)cc(OP(=S)(OCC)CC)c(Cl)c1,2000.0,61.822456023606755
